repo	path	phase	sole_owner	semantic_owner	precondition	prohibited_parallel_owner	caller_migration	delete_target	exact_test_command
cowd	harness-contract/src/execution_graph/contract.rs	P0	P0-contract	Program state and command contract	clean baseline	all other phases	P1-P5 consumers	metadata-only Program assumptions	cargo test -p harness-contract collaboration_program_contract --lib
cowd	harness-contract/src/execution_graph/projection.rs	P0	P0-contract	Program projection contract	P0 contract	P5 surface	Gateway/Edge projection	string status projection	cargo test -p harness-contract collaboration_program_projection --lib
cowd	harness-contract/src/execution_graph/validation.rs	P0	P0-contract	Program/edge invariant validation	P0 contract	P1-P5	all program commands	implicit lifecycle coercion	cargo test -p harness-contract collaboration_program_validation --lib
cowd	harness-contract/src/strategy/mod.rs	P0	P0-contract	Intent and understanding contract	P0 contract	P1/P3/P4	planner/ingress	role-name inference	cargo test -p harness-contract collaboration_intent_contract --lib
cowd	harness-contract/src/turn.rs	P0	P0-contract	Program continuation binding carrier	P0 contract	P4	continuation consumers	text-only continuation authority	cargo test -p harness-contract collaboration_continuation_contract --lib
cowd	harness-contract/src/team/instantiation.rs	P0	P0-contract	Team admission binding contract	P0 contract	P1/P3	Team compiler	optional admission placeholders	cargo test -p harness-contract team_admission_contract --lib
cowd	crates/runtime/src/orchestration/collaboration_coordinator.rs	P1	P1-coordinator	Program command/recovery owner	P0 closed	P3/P4	Host/graph transition callers	Host direct orchestration	cargo test -p runtime collaboration_coordinator_ --lib
cowd	crates/runtime/src/orchestration/request.rs	P1/P3/P4	P1-coordinator	Intent compile and Program patch application	P0 closed	Host/TeamRuntime	P1 runtime callers	ad hoc direct graph building	cargo test -p runtime collaboration_program_compile_ --lib
cowd	crates/runtime/src/orchestration/planner.rs	P1/P3/P4	P1-coordinator	Intent compile and Program patch application	P0 closed	Host/TeamRuntime	P1 runtime callers	ad hoc direct graph building	cargo test -p runtime collaboration_program_compile_ --lib
cowd	crates/runtime/src/orchestration/compiler.rs	P1/P3/P4	P1-coordinator	Intent compile and Program patch application	P0 closed	Host/TeamRuntime	P1 runtime callers	ad hoc direct graph building	cargo test -p runtime collaboration_program_compile_ --lib
cowd	crates/runtime/src/conversation/host.rs	P1/P4	P1-integration	Ingress facade and final continuation consumer	P1 contract	P2/P3/P5	start-selected callers	start_selected_strategy direct execution	cargo test -p runtime v0821_host_ --lib
cowd	crates/runtime/src/team/team_runtime.rs	P1/P3	P1-team	Atomic Team admission and binding snapshot	P0 contract	P2/P4	Program obligations	orphan graph/task admit path	cargo test -p runtime v0821_team_admission_ --lib
cowd	crates/runtime/src/team/team_binding.rs	P1/P3	P1-team	Atomic Team admission and binding snapshot	P0 contract	P2/P4	Program obligations	orphan graph/task admit path	cargo test -p runtime v0821_team_admission_ --lib
cowd	crates/runtime/src/team/instantiation.rs	P1/P3	P1-team	Atomic Team admission and binding snapshot	P0 contract	P2/P4	Program obligations	orphan graph/task admit path	cargo test -p runtime v0821_team_admission_ --lib
cowd	crates/runtime/src/execution_core/services.rs	P1/P2/P4	P1-graph	Program transaction, transition trigger, resource demand	P0 contract	P3/P5	Coordinator and Runner	metadata-only transition path	cargo test -p runtime v0821_program_recovery_ --lib
cowd	crates/runtime/src/execution_core/graph/commit_service.rs	P1/P2/P4	P1-graph	Program transaction, transition trigger, resource demand	P0 contract	P3/P5	Coordinator and Runner	metadata-only transition path	cargo test -p runtime v0821_program_recovery_ --lib
cowd	crates/runtime/src/execution_core/graph/runner.rs	P1/P2/P4	P1-graph	Program transaction, transition trigger, resource demand	P0 contract	P3/P5	Coordinator and Runner	metadata-only transition path	cargo test -p runtime v0821_program_recovery_ --lib
cowd	crates/runtime/src/context/acceptance_evaluator.rs	P2	P2-facts	Canonical evaluator and receipt identity	P0 contract	P1/P3	Agent/root/verify consumers	duplicate evaluator branches	cargo test -p runtime v0821_acceptance_ --lib
cowd	crates/runtime/src/context/path_identity.rs	P2	P2-facts	Canonical evaluator and receipt identity	P0 contract	P1/P3	Agent/root/verify consumers	duplicate evaluator branches	cargo test -p runtime v0821_acceptance_ --lib
cowd	crates/runtime/src/agent/runtime.rs	P2/P3	P2-agent	Durable terminal facts and typed role context	P0 contract	P1/P4	Agent executor and prompt	legacy role/empty-facts path	cargo test -p runtime v0821_agent_facts_ --lib
cowd	crates/runtime/src/agent/in_process_worker.rs	P2/P3	P2-agent	Durable terminal facts and typed role context	P0 contract	P1/P4	Agent executor and prompt	legacy role/empty-facts path	cargo test -p runtime v0821_agent_facts_ --lib
cowd	crates/runtime/src/agent/result_validator.rs	P2/P3	P2-agent	Durable terminal facts and typed role context	P0 contract	P1/P4	Agent executor and prompt	legacy role/empty-facts path	cargo test -p runtime v0821_agent_facts_ --lib
cowd	crates/runtime/src/agent/binding.rs	P2/P3	P2-agent	Durable terminal facts and typed role context	P0 contract	P1/P4	Agent executor and prompt	legacy role/empty-facts path	cargo test -p runtime v0821_agent_facts_ --lib
cowd	crates/runtime/src/execution_core/graph/executors/agent.rs	P2	P2-facts	Consume facts and edge predicates	P2 evaluator	P1/P3	Runner	status-as-acceptance path	cargo test -p runtime v0821_edge_ --lib
cowd	crates/runtime/src/execution_core/graph/executors/verify.rs	P2	P2-facts	Consume facts and edge predicates	P2 evaluator	P1/P3	Runner	status-as-acceptance path	cargo test -p runtime v0821_edge_ --lib
cowd	crates/runtime/src/execution_core/graph/executors/subgraph.rs	P2	P2-facts	Consume facts and edge predicates	P2 evaluator	P1/P3	Runner	status-as-acceptance path	cargo test -p runtime v0821_edge_ --lib
cowd	crates/runtime/src/team/working_state.rs	P2/P3	P2-team-result	Program-derived delivery/lifecycle	P2 facts	P1/P4	Gateway projection	role-name/lifecycle coercion	cargo test -p runtime v0821_team_lifecycle_ --lib
cowd	crates/runtime/src/team/result_reducer.rs	P2/P3	P2-team-result	Program-derived delivery/lifecycle	P2 facts	P1/P4	Gateway projection	role-name/lifecycle coercion	cargo test -p runtime v0821_team_lifecycle_ --lib
cowd	crates/runtime/src/team/projection.rs	P2/P3	P2-team-result	Program-derived delivery/lifecycle	P2 facts	P1/P4	Gateway projection	role-name/lifecycle coercion	cargo test -p runtime v0821_team_lifecycle_ --lib
cowd	crates/runtime/src/orchestration/collaboration_continuation.rs	P4	P4-continuation	Program-first continuation CAS and grants	P1 coordinator	Host/P2	P4 ingress callers	Host-local selection	cargo test -p runtime v0821_continuation_ --lib
cowd	crates/gateway/src/services/approval_service.rs	P5	P5-gateway	Program projection and typed approval API	P0 schema	Edge/TUI	Gateway API consumers	untyped program/approval payload	cargo test -p gateway v0821_program_ --lib
cowd	crates/gateway/src/api_routes/capability_contract.rs	P5	P5-gateway	Program projection and typed approval API	P0 schema	Edge/TUI	Gateway API consumers	untyped program/approval payload	cargo test -p gateway v0821_program_ --lib
cowd	crates/gateway/src/runtime/runtime_service.rs	P5	P5-gateway	Program projection and typed approval API	P0 schema	Edge/TUI	Gateway API consumers	untyped program/approval payload	cargo test -p gateway v0821_program_ --lib
edge	surfaces/webui/src/generated/gateway-api.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/generated/live-contract-meta.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/generated/projection-v2-golden.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/generated/projection-contract-meta.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/generated/app-protocol-meta.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/components/ApprovalInbox.vue	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
edge	surfaces/webui/src/stores/chatSessions.ts	P5	P5-edge	Generated Program projection and session-fenced presentation	Gateway generated candidate	Gateway/TUI	WebUI generated consumers	client-derived truth	npm --prefix surfaces/webui run test:unit
